"Sexe","Congé maternité A-1","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","tranche d'âge","ID"
"H",0,"CDI",35,9096.97,21,0,0,"2025-08-05",44,"Informatique","Oui",8,"50 ans et +","Row23_Row23_Row23"
"H",0,"CDI",35,9069.67,1,0,0,"2025-04-18",64,"Commercial","Non",11,"40-49 ans","Row24_Row24_Row24"
"H",0,"CDI",35,9039.33,20,1,1,"2025-07-10",30,"RH","Non",1,"< 30 ans","Row25_Row25_Row25"
"F",0,"CDI",35,8828.52,17,0,1,"2025-06-10",18,"Commercial","Oui",84,"30-39 ans","Row27_Row27_Row27"
"F",0,"CDI",35,8746.62,19,0,1,"2025-02-05",5,"RH","Non",62,"30-39 ans","Row28_Row28_Row28"
"H",0,"CDI",35,8716.28,20,0,0,"2025-03-08",50,"Informatique","Non",93,"30-39 ans","Row29_Row29_Row29"
"H",0,"CDI",35,8714.77,37,1,0,"2025-06-15",24,"Commercial","Non",80,"50 ans et +","Row30_Row30_Row30"
"H",0,"CDI",35,8696.57,34,1,0,"2025-01-13",19,"Marketing","Non",89,"50 ans et +","Row31_Row31_Row31"
"H",0,"CDI",35,8696.57,37,0,0,"2025-07-08",60,"Compta Finances","Non",26,"50 ans et +","Row32_Row32_Row32"
"F",0,"CDI",35,8655.62,26,1,0,"2025-08-15",68,"Compta Finances","Non",25,"40-49 ans","Row33_Row33_Row33"
"F",0,"CDI",35,8629.83,3,0,0,"2025-04-19",38,"Commercial","Non",44,"40-49 ans","Row34_Row34_Row34"
"H",0,"CDI",35,8458.45,1,0,0,"2025-02-15",31,"Informatique","Non",35,"30-39 ans","Row36_Row36_Row36"
"H",0,"CDI",35,8428.12,18,1,0,"20",57,"Commercial","Oui",44,"50 ans et +","Row37_Row37_Row37"
"H",0,"CDI",35,8337.12,16,0,1,"2025-03-06",29,"Commercial","Oui",14,"30-39 ans","Row39_Row39_Row39"
"F",0,"CDI",35,8332.57,12,0,0,"2025-02-05",34,"Compta Finances","Non",42,"30-39 ans","Row40_Row40_Row40"
"F",0,"CDI",35,8328.02,14,1,0,"2025-02-10",59,"Compta Finances","Non",60,"30-39 ans","Row41_Row41_Row41"
"H",0,"CDI",35,8277.97,10,0,0,"2025-04-20",55,"RH","Non",78,"30-39 ans","Row42_Row42_Row42"
"F",0,"CDI",35,8218.82,14,0,0,"2025-03-16",28,"Compta Finances","Non",32,"50 ans et +","Row43_Row43_Row43"
"H",0,"CDI",35,8073.22,38,1,1,"2025-07-15",29,"Compta Finances","Non",70,"40-49 ans","Row46_Row46_Row46"
"F",0,"CDI",35,8056.53,14,0,0,"2025-08-21",31,"Marketing","Non",75,"40-49 ans","Row47_Row47_Row47"
"F",0,"CDI",35,8056.53,13,0,1,"2025-03-10",31,"Compta Finances","Non",32,"50 ans et +","Row48_Row48_Row48"
"F",0,"CDI",35,7942.78,38,1,0,"2025-08-10",27,"Commercial","Non",78,"40-49 ans","Row49_Row49_Row49"
"H",0,"CDI",35,7927.62,32,1,0,"10",21,"Commercial","Oui",42,"40-49 ans","Row50_Row50_Row50"
"F",0,"CDI",35,7877.57,36,1,0,"2025-02-22",28,"RH","Non",63,"40-49 ans","Row53_Row53_Row53"
"H",0,"CDI",35,7713.77,23,1,0,"2025-03-14",31,"Commercial","Oui",31,"50 ans et +","Row55_Row55_Row55"
"H",0,"CDI",35,7710.73,27,0,0,"2025-05-07",70,"RH","Non",86,"30-39 ans","Row56_Row56_Row56"
"F",0,"CDI",35,7687.98,9,0,0,"2025-03-17",69,"RH","Non",47,"40-49 ans","Row57_Row57_Row57"
"F",0,"CDI",35,7672.82,37,1,1,"2025-08-03",30,"Consultant","Non",77,"40-49 ans","Row58_Row58_Row58"
"H",0,"CDI",35,7654.62,5,1,0,"2025-03-23",60,"Informatique","Non",54,"40-49 ans","Row59_Row59_Row59"
"F",0,"CDI",35,7637.93,21,1,0,"2025-06-08",34,"RH","Non",84,"50 ans et +","Row60_Row60_Row60"
"H",0,"CDI",35,7637.93,27,0,0,"2025-08-13",68,"Marketing","Non",59,"30-39 ans","Row61_Row61_Row61"
"F",0,"CDI",35,7601.53,19,1,1,"2025-05-12",53,"Compta Finances","Non",55,"40-49 ans","Row62_Row62_Row62"
"F",0,"CDI",35,7496.88,6,1,0,"2025-09-21",55,"Commercial","Non",77,"40-49 ans","Row63_Row63_Row63"
"F",0,"CDI",35,7377.07,17,1,0,"6",67,"Compta Finances","Non",70,"50 ans et +","Row64_Row64_Row64"
"H",0,"CDI",28,7358.87,31,1,0,"2025-09-09",48,"Marketing","Non",17,"30-39 ans","Row65_Row65_Row65"
"F",0,"CDI",35,7308.82,12,0,0,"2025-02-20",53,"Consultant","Non",24,"30-39 ans","Row66_Row66_Row66"
"F",0,"CDI",35,7304.27,17,1,0,"2025-09-07",59,"Consultant","Non",34,"30-39 ans","Row67_Row67_Row67"
"H",0,"CDI",35,7264.83,31,0,0,"2025-06-15",65,"Marketing","Non",64,"50 ans et +","Row69_Row69_Row69"
"H",0,"CDI",35,7263.32,30,1,1,"2025-07-12",16,"RH","Non",84,"50 ans et +","Row70_Row70_Row70"
"H",0,"CDI",35,7185.97,7,1,0,"2025-05-05",67,"Compta Finances","Non",66,"50 ans et +","Row71_Row71_Row71"
"H",0,"CDI",35,7184.45,37,1,1,"2025-01-24",28,"Marketing","Non",54,"40-49 ans","Row72_Row72_Row72"
"H",0,"CDI",35,7178.38,38,1,0,"2025-05-06",68,"Consultant","Non",89,"30-39 ans","Row73_Row73_Row73"
"F",0,"CDI",35,7157.15,3,0,0,"2025-07-03",26,"RH","Non",6,"30-39 ans","Row74_Row74_Row74"
"H",0,"CDI",35,7098,1,1,0,"2025-02-23",29,"Commercial","Oui",39,"40-49 ans","Row76_Row76_Row76"
"H",0,"CDI",35,7081.32,26,0,0,"20",8,"Informatique","Non",31,"50 ans et +","Row77_Row77_Row77"
"H",0,"CDI",35,6973.63,31,0,1,"2025-01-19",50,"Consultant","Non",99,"50 ans et +","Row78_Row78_Row78"
"F",0,"CDI",35,6902.35,17,0,1,"2025-03-17",45,"Commercial","Non",21,"30-39 ans","Row79_Row79_Row79"
"H",0,"CDI",24,6842.16,21,1,0,"2025-09-23",37,"Marketing","Non",1,"50 ans et +","Row80_Row80_Row80"
"F",1,"CDI",35,6838.65,5,1,0,"3",6,"Commercial","Oui",41,"30-39 ans","Row81_Row81_Row81"
"F",0,"CDI",35,6818.93,14,1,0,"2025-03-24",35,"Commercial","Non",47,"40-49 ans","Row82_Row82_Row82"
"F",0,"CDI",32,6743.36,4,0,0,"2025-07-22",59,"Compta Finances","Non",6,"40-49 ans","Row83_Row83_Row83"
"F",0,"CDI",35,6591.43,19,0,0,"2025-02-20",65,"Consultant","Oui",63,"50 ans et +","Row84_Row84_Row84"
"F",0,"CDI",35,6583.85,13,1,0,"2025-06-12",59,"Marketing","Non",67,"50 ans et +","Row85_Row85_Row85"
"H",0,"CDI",35,6526.22,36,0,1,"2025-08-22",67,"Informatique","Non",4,"50 ans et +","Row86_Row86_Row86"
"H",0,"CDI",35,6494.37,1,0,0,"6",12,"Informatique","Oui",30,"40-49 ans","Row87_Row87_Row87"
"F",0,"CDI",35,6413.98,24,1,0,"2025-02-07",59,"Consultant","Non",72,"40-49 ans","Row88_Row88_Row88"
"H",0,"CDI",35,6409.43,21,0,0,"2025-01-07",38,"Consultant","Non",80,"50 ans et +","Row89_Row89_Row89"
"H",0,"CDI",35,6398.82,11,1,0,"7",29,"Consultant","Non",68,"40-49 ans","Row90_Row90_Row90"
"F",0,"CDI",35,6356.35,26,1,0,"2025-02-04",40,"Informatique","Non",4,"30-39 ans","Row91_Row91_Row91"
"F",0,"CDI",35,6301.75,34,0,0,"2025-07-09",28,"Consultant","Non",39,"50 ans et +","Row92_Row92_Row92"
"F",0,"CDI",35,6212.27,5,1,0,"2025-06-04",51,"Commercial","Non",3,"40-49 ans","Row93_Row93_Row93"
"H",0,"CDI",35,6195.58,23,0,1,"2025-01-13",27,"Commercial","Non",56,"40-49 ans","Row94_Row94_Row94"
"H",0,"CDI",24,6178.64,17,0,0,"2025-03-23",48,"Informatique","Non",57,"40-49 ans","Row95_Row95_Row95"
"H",0,"CDI",35,6175.87,38,0,0,"2025-07-09",30,"RH","Non",29,"30-39 ans","Row96_Row96_Row96"
"F",0,"CDI",35,6163.73,16,1,1,"2025-09-23",70,"Commercial","Non",38,"40-49 ans","Row97_Row97_Row97"
"F",0,"CDI",35,6127.33,0,1,1,"2025-03-14",65,"Compta Finances","Non",94,"50 ans et +","Row98_Row98_Row98"
"H",0,"CDI",35,6121.27,32,0,0,"2025-05-20",45,"Commercial","Oui",7,"30-39 ans","Row99_Row99_Row99"
"H",0,"CDI",35,6043.92,3,1,0,"2025-09-16",65,"Consultant","Non",36,"40-49 ans","Row100_Row100_Row100"
"H",0,"CDI",35,6031.78,39,1,0,"2025-02-19",35,"Commercial","Oui",74,"40-49 ans","Row101_Row101_Row101"
"H",0,"CDI",35,6002.97,2,1,0,"2025-08-22",38,"Marketing","Oui",70,"40-49 ans","Row102_Row102_Row102"
"H",0,"CDI",35,5984.77,6,0,0,"2025-09-24",62,"Commercial","Non",17,"40-49 ans","Row103_Row103_Row103"
"F",0,"CDI",24,5951.92,32,1,0,"2025-02-08",65,"Marketing","Non",1,"50 ans et +","Row104_Row104_Row104"
"H",0,"CDI",35,5949.88,17,1,0,"2025-02-16",69,"Commercial","Non",41,"30-39 ans","Row105_Row105_Row105"
"H",0,"CDI",35,5930.17,33,0,0,"2025-09-05",23,"Marketing","Non",37,"40-49 ans","Row106_Row106_Row106"
"F",0,"CDI",24,5895.76,23,1,0,"2025-04-22",64,"Commercial","Non",15,"50 ans et +","Row107_Row107_Row107"
"H",0,"CDI",35,5810.35,36,1,0,"2025-08-05",61,"Consultant","Non",94,"30-39 ans","Row108_Row108_Row108"
"H",0,"CDI",35,5749.68,17,0,0,"2025-08-13",51,"Commercial","Non",19,"50 ans et +","Row110_Row110_Row110"
"F",0,"CDI",35,5739.07,6,1,1,"2025-07-24",30,"Consultant","Non",51,"50 ans et +","Row111_Row111_Row111"
"H",0,"CDI",24,5724.16,15,1,0,"2025-06-18",49,"Compta Finances","Non",100,"30-39 ans","Row112_Row112_Row112"
"F",0,"CDI",35,5585.88,17,1,0,"2025-07-15",48,"Consultant","Non",50,"< 30 ans","Row113_Row113_Row113"
"F",0,"CDI",35,5581.33,20,1,1,"2025-09-23",47,"Commercial","Oui",86,"30-39 ans","Row114_Row114_Row114"
"F",0,"CDI",35,5522.18,9,1,0,"2025-09-05",70,"RH","Non",7,"50 ans et +","Row115_Row115_Row115"
"H",0,"CDI",35,5517.63,23,1,1,"2025-03-23",9,"Marketing","Non",81,"40-49 ans","Row116_Row116_Row116"
"H",0,"CDI",35,5464.55,34,0,0,"2025-05-10",6,"Commercial","Non",47,"40-49 ans","Row117_Row117_Row117"
"H",0,"CDI",35,5455.45,7,0,0,"19",7,"Consultant","Non",8,"50 ans et +","Row119_Row119_Row119"
"H",0,"CDI",24,5448.56,30,0,0,"2025-03-07",9,"Consultant","Non",51,"50 ans et +","Row120_Row120_Row120"
"F",0,"CDI",35,5388.72,30,1,0,"2025-04-08",17,"Consultant","Non",51,"40-49 ans","Row121_Row121_Row121"
"F",0,"CDI",35,5293.17,39,0,0,"2025-06-18",16,"RH","Non",30,"50 ans et +","Row123_Row123_Row123"
"H",0,"CDI",35,5212.78,11,0,0,"2025-02-04",39,"Informatique","Non",32,"50 ans et +","Row124_Row124_Row124"
"F",0,"CDI",35,5106.62,10,0,0,"2025-08-09",22,"RH","Non",77,"40-49 ans","Row125_Row125_Row125"
"H",0,"CDI",28,5097.21,10,1,0,"2025-03-09",35,"Consultant","Non",62,"40-49 ans","Row126_Row126_Row126"
"F",0,"CDI",35,5092.97,11,1,0,"2025-01-23",49,"Commercial","Non",31,"40-49 ans","Row127_Row127_Row127"
"F",0,"CDI",35,5076.28,33,0,0,"2025-04-04",43,"RH","Non",20,"50 ans et +","Row128_Row128_Row128"
"F",0,"CDI",35,5067.18,39,1,0,"2025-01-15",34,"RH","Non",55,"50 ans et +","Row129_Row129_Row129"
"F",1,"CDI",35,5056.57,24,1,0,"2025-02-16",66,"RH","Non",46,"30-39 ans","Row130_Row130_Row130"
"H",0,"CDI",35,5035.33,24,0,0,"24",55,"RH","Non",95,"50 ans et +","Row131_Row131_Row131"
"H",0,"CDI",35,4988.32,8,0,0,"2025-02-22",37,"Compta Finances","Non",52,"50 ans et +","Row132_Row132_Row132"
"F",0,"CDI",24,4974.32,32,0,0,"2025-08-11",31,"Commercial","Oui",66,"50 ans et +","Row133_Row133_Row133"
"H",0,"CDI",24,4795.44,19,0,1,"2025-06-05",7,"Consultant","Non",33,"30-39 ans","Row136_Row136_Row136"
"F",0,"CDI",35,4763.85,7,1,0,"2025-08-10",44,"Marketing","Non",73,"30-39 ans","Row137_Row137_Row137"
"F",0,"CDI",35,4712.28,26,1,0,"12",66,"Consultant","Non",46,"40-49 ans","Row138_Row138_Row138"
"F",0,"CDI",35,4663.75,5,0,0,"2025-04-24",39,"Informatique","Oui",32,"50 ans et +","Row139_Row139_Row139"
"H",0,"CDI",35,4624.32,15,0,0,"2025-02-10",35,"Marketing","Non",92,"30-39 ans","Row140_Row140_Row140"
"F",0,"CDI",35,4563.65,38,1,0,"2025-02-16",55,"Marketing","Oui",51,"40-49 ans","Row141_Row141_Row141"
"F",0,"CDI",35,4516.63,34,1,0,"2025-04-17",42,"Consultant","Non",90,"40-49 ans","Row142_Row142_Row142"
"H",0,"CDI",35,4499.95,22,1,0,"2025-08-05",59,"RH","Non",46,"50 ans et +","Row143_Row143_Row143"
"F",0,"CDI",35,4424.12,30,0,0,"2025-02-24",58,"Marketing","Non",29,"40-49 ans","Row145_Row145_Row145"
"H",0,"CDI",35,4421.08,6,1,1,"2025-02-14",8,"Compta Finances","Non",28,"50 ans et +","Row146_Row146_Row146"
"H",0,"CDI",35,4296.72,39,0,0,"2025-08-10",32,"Consultant","Non",39,"50 ans et +","Row147_Row147_Row147"
"F",0,"CDI",35,4289.13,12,0,1,"2025-06-12",33,"Consultant","Non",82,"50 ans et +","Row148_Row148_Row148"
"H",0,"CDI",35,4281.55,13,1,0,"2025-03-08",63,"Consultant","Non",50,"30-39 ans","Row149_Row149_Row149"
"H",0,"CDI",35,4263.35,31,0,0,"2025-07-15",69,"Compta Finances","Non",48,"50 ans et +","Row150_Row150_Row150"
"F",0,"CDI",35,4198.13,34,1,0,"2025-08-04",33,"Compta Finances","Non",14,"30-39 ans","Row152_Row152_Row152"
"F",0,"CDI",35,4152.63,7,1,0,"2025-08-15",46,"Commercial","Oui",60,"40-49 ans","Row154_Row154_Row154"
"H",0,"CDI",35,4134.43,22,0,0,"2025-08-22",62,"Consultant","Non",34,"40-49 ans","Row155_Row155_Row155"
"F",0,"CDI",24,4117.36,8,1,0,"2025-07-06",7,"RH","Non",35,"50 ans et +","Row156_Row156_Row156"
"F",0,"CDI",35,4082.87,28,0,0,"2025-03-22",37,"Marketing","Non",74,"40-49 ans","Row157_Row157_Row157"
"H",0,"CDI",35,4000.97,40,1,0,"2025-02-24",62,"Consultant","Non",60,"40-49 ans","Row160_Row160_Row160"
"H",0,"CDI",35,3891.77,32,0,0,"2025-02-07",28,"Consultant","Non",13,"50 ans et +","Row161_Row161_Row161"
"H",0,"CDI",35,3882.67,1,0,1,"2025-08-11",46,"RH","Non",49,"30-39 ans","Row162_Row162_Row162"
"F",0,"CDI",35,3835.65,26,0,0,"2025-09-14",13,"RH","Non",99,"50 ans et +","Row164_Row164_Row164"
"F",0,"CDI",35,3800.77,9,1,1,"2025-07-24",53,"Commercial","Non",61,"50 ans et +","Row166_Row166_Row166"
"F",0,"CDI",35,3797.73,24,0,0,"2025-09-23",52,"RH","Non",29,"50 ans et +","Row167_Row167_Row167"
"F",0,"CDI",35,3705.22,29,1,0,"13",68,"RH","Oui",62,"40-49 ans","Row168_Row168_Row168"
"H",0,"CDD",35,3693.08,24,0,0,"0.3",42,"Marketing","Non",25,"30-39 ans","Row169_Row169_Row169"
"H",0,"CDI",35,3677.92,33,0,1,"2025-06-22",47,"Commercial","Non",95,"30-39 ans","Row170_Row170_Row170"
"H",0,"CDI",35,3655.17,33,0,0,"2025-03-19",41,"Marketing","Non",69,"50 ans et +","Row171_Row171_Row171"
"F",0,"CDD",35,3640,6,0,0,"2025-01-01",9,"Marketing","Non",96,"40-49 ans","Row172_Row172_Row172"
"F",0,"CDI",35,3597.53,32,1,0,"2025-08-16",60,"Marketing","Non",38,"40-49 ans","Row173_Row173_Row173"
"H",0,"CDI",35,3582.37,30,1,0,"2025-04-22",48,"Marketing","Non",81,"40-49 ans","Row174_Row174_Row174"
"F",1,"CDI",35,3547.48,39,1,0,"2025-07-11",43,"Consultant","Non",1,"< 30 ans","Row175_Row175_Row175"
"H",0,"CDI",35,3486.82,19,0,0,"2025-01-03",13,"RH","Non",65,"30-39 ans","Row177_Row177_Row177"
"H",0,"CDI",35,3462.55,3,1,0,"2025-06-20",13,"Marketing","Oui",99,"40-49 ans","Row178_Row178_Row178"
"F",0,"CDI",35,3459.52,30,0,0,"2025-03-10",38,"Consultant","Non",25,"50 ans et +","Row179_Row179_Row179"
"H",0,"CDI",35,3436.77,27,1,0,"2025-03-10",11,"Compta Finances","Non",44,"30-39 ans","Row180_Row180_Row180"
"H",0,"CDI",35,3383.68,23,0,0,"2025-02-17",11,"Compta Finances","Non",56,"40-49 ans","Row181_Row181_Row181"
"H",0,"CDI",35,3335.15,28,1,0,"2025-05-07",6,"RH","Non",90,"50 ans et +","Row182_Row182_Row182"
"F",0,"CDI",35,3260.83,30,1,0,"17",28,"Commercial","Non",42,"30-39 ans","Row183_Row183_Row183"
"F",0,"CDI",35,3256.28,34,0,0,"2025-08-08",13,"Marketing","Non",25,"50 ans et +","Row184_Row184_Row184"
"H",0,"CDI",35,3232.02,35,0,0,"2025-04-24",8,"Consultant","Non",36,"40-49 ans","Row185_Row185_Row185"
"F",0,"CDI",35,3218.37,27,1,0,"2025-03-19",23,"RH","Non",23,"50 ans et +","Row186_Row186_Row186"
"F",0,"CDD",35,3185,3,0,0,"2025-07-01",60,"Commercial","Non",58,"40-49 ans","Row188_Row188_Row188"
"F",0,"CDD",35,3168.32,10,0,0,"2025-04-01",42,"Consultant","Non",18,"40-49 ans","Row189_Row189_Row189"
"F",0,"CDI",35,3165.28,0,0,0,"2025-08-06",18,"Commercial","Oui",67,"50 ans et +","Row190_Row190_Row190"
"F",0,"CDI",24,3116.88,37,0,0,"2025-02-08",43,"RH","Non",48,"50 ans et +","Row191_Row191_Row191"
"F",0,"CDI",35,3097.03,13,0,0,"25",58,"Consultant","Non",19,"50 ans et +","Row192_Row192_Row192"
"F",0,"CDI",24,3060.72,6,0,0,"2025-05-19",30,"RH","Non",73,"50 ans et +","Row193_Row193_Row193"
"F",0,"CDD",35,3033.33,8,0,0,"0.4",17,"Consultant","Non",24,"50 ans et +","Row194_Row194_Row194"
"H",0,"CDI",35,2998.45,21,1,0,"2025-02-08",13,"Marketing","Non",22,"< 30 ans","Row196_Row196_Row196"
"F",0,"CDI",35,2928.68,33,1,1,"2025-03-05",30,"Commercial","Oui",97,"50 ans et +","Row197_Row197_Row197"
"H",0,"CDI",35,2918.07,39,1,0,"2025-02-21",44,"Consultant","Non",89,"40-49 ans","Row198_Row198_Row198"
"F",0,"CDI",35,2916.55,35,1,0,"2025-02-10",42,"Commercial","Non",98,"30-39 ans","Row199_Row199_Row199"
"F",0,"CDI",35,2912,35,0,1,"2025-02-04",65,"Marketing","Non",40,"50 ans et +","Row200_Row200_Row200"
"F",0,"CDD",35,2881.67,27,0,0,"2025-09-01",15,"Commercial","Non",76,"50 ans et +","Row201_Row201_Row201"
"H",0,"CDI",35,2843.75,2,0,0,"2025-05-12",11,"Consultant","Non",69,"40-49 ans","Row203_Row203_Row203"
"H",0,"CDI",35,2834.65,15,1,0,"2025-02-06",61,"Consultant","Non",24,"50 ans et +","Row204_Row204_Row204"
"H",0,"CDI",35,2828.58,21,0,0,"2025-02-24",9,"Commercial","Non",86,"50 ans et +","Row205_Row205_Row205"
"H",0,"CDI",28,2813.72,8,1,0,"2025-03-13",17,"Consultant","Non",9,"50 ans et +","Row206_Row206_Row206"
"H",0,"CDI",35,2777.02,10,1,0,"2025-05-23",14,"Consultant","Non",66,"50 ans et +","Row207_Row207_Row207"
"H",0,"CDI",35,2769.43,33,0,0,"2025-09-18",69,"Compta Finances","Oui",89,"30-39 ans","Row208_Row208_Row208"
"H",0,"CDI",35,2767.92,6,1,0,"2025-02-09",44,"RH","Non",88,"50 ans et +","Row209_Row209_Row209"
"F",0,"CDI",35,2731.52,4,1,0,"2025-02-16",21,"Consultant","Non",3,"40-49 ans","Row211_Row211_Row211"
"H",0,"CDI",35,2604.12,32,1,0,"2025-05-20",61,"Compta Finances","Non",70,"50 ans et +","Row213_Row213_Row213"
"H",0,"CDI",35,2561.65,13,0,0,"2025-04-17",41,"Consultant","Non",68,"30-39 ans","Row214_Row214_Row214"
"H",0,"CDD",35,2558.62,22,0,0,"2025-08-01",59,"Consultant","Oui",59,"30-39 ans","Row215_Row215_Row215"
"F",0,"CDI",24,2507.44,18,1,1,"2025-02-16",47,"RH","Non",98,"40-49 ans","Row217_Row217_Row217"
"F",0,"CDD",32,2496,21,0,0,"2025-03-01",43,"Consultant","Oui",6,"40-49 ans","Row218_Row218_Row218"
"F",0,"CDD",35,2426.67,21,0,0,"0.6",14,"Marketing","Oui",70,"50 ans et +","Row219_Row219_Row219"
"H",0,"CDI",35,2396.33,11,0,0,"2025-06-21",14,"Commercial","Oui",62,"40-49 ans","Row220_Row220_Row220"
"F",0,"CDI",35,2369.03,20,0,0,"2025-08-12",20,"Commercial","Non",52,"30-39 ans","Row221_Row221_Row221"
"H",0,"CDD",32,2357.33,12,0,0,"2025-02-01",12,"Consultant","Non",100,"50 ans et +","Row222_Row222_Row222"
"F",0,"CDI",35,2309.88,23,0,0,"2025-02-08",3,"Commercial","Non",63,"50 ans et +","Row223_Row223_Row223"
"F",0,"CDD",35,2226.47,2,0,0,"2025-01-01",14,"Consultant","Non",81,"30-39 ans","Row224_Row224_Row224"
"F",0,"CDI",35,2132.43,18,1,1,"2025-02-03",15,"Consultant","Non",60,"40-49 ans","Row225_Row225_Row225"
"F",0,"CDD",35,2123.33,39,0,0,"2025-08-01",6,"Compta Finances","Non",84,"50 ans et +","Row226_Row226_Row226"
"F",0,"CDI",35,2079.35,7,1,1,"2025-07-13",34,"Compta Finances","Oui",40,"40-49 ans","Row227_Row227_Row227"
"F",0,"CDI",35,2073.28,28,0,0,"2025-01-21",5,"Consultant","Non",59,"40-49 ans","Row228_Row228_Row228"
"F",0,"CDI",35,2070.25,34,0,0,"2025-08-03",53,"Commercial","Non",58,"50 ans et +","Row229_Row229_Row229"
"F",1,"CDI",35,2070.25,24,1,0,"2025-03-09",45,"Consultant","Non",95,"< 30 ans","Row230_Row230_Row230"
"F",0,"CDI",35,2027.78,19,0,0,"2025-06-06",58,"Consultant","Non",92,"30-39 ans","Row233_Row233_Row233"
"H",0,"CDI",35,2024.75,4,1,0,"2025-02-14",4,"Consultant","Non",42,"40-49 ans","Row234_Row234_Row234"
"F",1,"CDI",35,2008.07,35,1,0,"2025-05-03",61,"Compta Finances","Non",44,"< 30 ans","Row235_Row235_Row235"
"H",0,"CDD",35,1989.87,5,0,0,"2025-04-01",67,"Marketing","Non",19,"30-39 ans","Row236_Row236_Row236"
"H",0,"CDI",35,1979.25,6,1,0,"2025-05-05",46,"Compta Finances","Non",31,"40-49 ans","Row237_Row237_Row237"
"H",0,"CDI",35,1873.08,27,0,0,"2025-02-12",28,"Consultant","Non",45,"40-49 ans","Row239_Row239_Row239"
"F",1,"CDI",35,1863.98,12,1,0,"2025-05-02",55,"Marketing","Non",67,"30-39 ans","Row240_Row240_Row240"
"H",0,"CDI",28,1851.55,19,0,0,"2025-07-23",38,"Consultant","Non",15,"40-49 ans","Row241_Row241_Row241"
"H",0,"CDI",35,1835.17,6,0,0,"19",3,"Compta Finances","Non",15,"30-39 ans","Row242_Row242_Row242"
"H",0,"CDI",35,1833.65,8,0,1,"2025-02-08",25,"Compta Finances","Non",17,"50 ans et +","Row243_Row243_Row243"
"H",0,"CDI",35,1803.32,8,1,0,"2025-04-04",67,"Consultant","Non",81,"30-39 ans","Row244_Row244_Row244"
"F",0,"CDI",35,1774.5,16,1,0,"2025-05-05",43,"Consultant","Non",47,"40-49 ans","Row245_Row245_Row245"
"H",0,"CDI",35,1772.98,20,1,1,"2025-04-16",23,"Compta Finances","Non",44,"50 ans et +","Row246_Row246_Row246"
"H",0,"CDI",24,1709.76,10,1,1,"2025-03-10",11,"Consultant","Non",87,"50 ans et +","Row247_Row247_Row247"
"F",0,"CDI",35,1703.22,39,1,0,"2025-07-05",24,"Consultant","Non",87,"40-49 ans","Row248_Row248_Row248"
"H",0,"CDI",35,1697.15,17,1,0,"2025-07-21",59,"Consultant","Non",98,"50 ans et +","Row249_Row249_Row249"
"H",0,"CDI",35,1669.85,22,1,0,"2025-04-12",41,"Marketing","Non",32,"< 30 ans","Row250_Row250_Row250"
"H",0,"CDI",35,1651.65,18,0,0,"2025-01-17",43,"Consultant","Non",69,"40-49 ans","Row251_Row251_Row251"
